Attack_Type,Protocol,Source_IP,Destination_IP
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,152.52.36.105,192.168.36.148
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,116.119.119.92,192.168.36.148
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,80.249.212.183,192.168.36.148
ICMP Ping Detected,ICMP,192.168.36.148,199.232.214.172
ICMP Ping Detected,ICMP,199.232.214.172,192.168.36.148
ICMP Ping Detected,ICMP,192.168.36.148,204.79.197.200
BAD-TRAFFIC same SRC/DST,IGMP,0.0.0.0,224.0.0.22
BAD-TRAFFIC same SRC/DST,IGMP,0.0.0.0,224.0.0.22
ICMP Ping Detected,ICMP,192.168.36.148,192.168.41.106
ICMP Ping Detected,ICMP,192.168.69.105,192.168.67.187
ICMP Ping Detected,ICMP,192.168.69.105,192.168.67.187
ICMP Ping Detected,ICMP,192.168.69.105,192.168.36.139
ICMP Ping Detected,ICMP,192.168.69.105,192.168.67.187
ICMP Ping Detected,ICMP,192.168.69.105,192.168.36.139
ICMP Ping Detected,ICMP,192.168.69.105,192.168.67.187
ICMP Ping Detected,ICMP,192.168.69.105,192.168.26.230
ICMP Ping Detected,ICMP,192.168.69.105,192.168.26.230
ICMP Ping Detected,ICMP,192.168.69.105,192.168.36.139
ICMP Ping Detected,ICMP,192.168.69.105,192.168.26.230
ICMP Ping Detected,ICMP,192.168.69.105,192.168.36.139
ICMP Ping Detected,ICMP,192.168.69.105,192.168.26.230
ICMP Ping Detected,ICMP,192.168.69.105,192.168.43.166
ICMP Ping Detected,ICMP,192.168.69.105,192.168.43.23
ICMP Ping Detected,ICMP,192.168.69.105,192.168.43.23
ICMP Ping Detected,ICMP,192.168.69.105,192.168.43.166
ICMP Ping Detected,ICMP,192.168.69.105,192.168.43.23
ICMP Ping Detected,ICMP,192.168.69.105,192.168.43.23
ICMP Ping Detected,ICMP,192.168.69.105,192.168.43.166
ICMP Ping Detected,ICMP,192.168.37.215,192.168.36.148
ICMP Ping Detected,ICMP,192.168.45.117,192.168.36.148
ICMP Ping Detected,ICMP,192.168.32.185,192.168.36.148
ICMP Ping Detected,ICMP,172.26.143.104,142.250.192.110
ICMP Ping Detected,ICMP,142.250.192.110,172.26.143.104
ICMP Ping Detected,ICMP,172.26.143.104,142.250.192.110
ICMP Ping Detected,ICMP,142.250.192.110,172.26.143.104
ICMP Ping Detected,ICMP,172.26.143.104,142.250.192.110
ICMP Ping Detected,ICMP,142.250.192.110,172.26.143.104
ICMP Ping Detected,ICMP,172.26.143.104,142.250.192.110
ICMP Ping Detected,ICMP,142.250.192.110,172.26.143.104
BAD-TRAFFIC same SRC/DST,IGMP,0.0.0.0,224.0.0.22
ICMP Ping Detected,ICMP,172.26.143.104,172.26.143.201
ICMP Ping Detected,ICMP,172.26.143.104,172.26.143.201
ICMP Ping Detected,ICMP,172.26.143.104,172.26.143.201
ICMP Ping Detected,ICMP,172.26.143.104,172.26.143.201
ICMP Ping Detected,ICMP,172.26.143.104,172.26.143.206
ICMP Ping Detected,ICMP,172.26.143.104,172.26.143.206
ICMP Ping Detected,ICMP,172.26.143.104,172.26.143.206
ICMP Ping Detected,ICMP,172.26.143.104,172.26.143.206
BAD-TRAFFIC same SRC/DST,IGMP,0.0.0.0,224.0.0.22
